HomeTeam;AwayTeam;Year;HomeGoals;AwayGoals;TotalGoals
Oman;Thailand;2019;2;0;2
United Arab Emirates;Bahrain;2019;1;1;2
Thailand;India;2019;1;4;5
Australia;Jordan;2019;0;1;1
Syria;Palestine;2019;0;0;0
China PR;Kyrgyzstan;2019;2;1;3
South Korea;Philippines;2019;1;0;1
Iran;Yemen;2019;5;0;5
Finland;Sweden;2019;1;0;1
Iraq;Vietnam;2019;3;2;5
Saudi Arabia;North Korea;2019;4;0;4
Qatar;Lebanon;2019;2;0;2
Japan;Turkmenistan;2019;3;2;5
Uzbekistan;Oman;2019;2;1;3
Bahrain;Thailand;2019;0;1;1
Jordan;Syria;2019;2;0;2
United Arab Emirates;India;2019;2;0;2
Estonia;Finland;2019;2;1;3
Iceland;Sweden;2019;2;2;4
Palestine;Australia;2019;0;3;3
Philippines;China PR;2019;0;3;3
Kyrgyzstan;South Korea;2019;0;1;1
Vietnam;Iran;2019;0;2;2
Yemen;Iraq;2019;0;3;3
Lebanon;Saudi Arabia;2019;0;2;2
North Korea;Qatar;2019;0;6;6
Oman;Japan;2019;0;1;1
Turkmenistan;Uzbekistan;2019;0;4;4
India;Bahrain;2019;0;1;1
United Arab Emirates;Thailand;2019;1;1;2
Estonia;Iceland;2019;0;0;0
Australia;Syria;2019;3;2;5
Palestine;Jordan;2019;0;0;0
South Korea;China PR;2019;2;0;2
Kyrgyzstan;Philippines;2019;3;1;4
Iran;Iraq;2019;0;0;0
Vietnam;Yemen;2019;2;0;2
Lebanon;North Korea;2019;4;1;5
Saudi Arabia;Qatar;2019;0;2;2
Japan;Uzbekistan;2019;2;1;3
Oman;Turkmenistan;2019;3;1;4
Iran;Oman;2019;2;0;2
Jordan;Vietnam;2019;1;1;2
Thailand;China PR;2019;1;2;3
Australia;Uzbekistan;2019;0;0;0
Japan;Saudi Arabia;2019;1;0;1
United Arab Emirates;Kyrgyzstan;2019;3;2;5
South Korea;Bahrain;2019;2;1;3
Qatar;Iraq;2019;1;0;1
China PR;Iran;2019;0;3;3
