HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France,Mexico,1930,4,1,5
Uruguay,Argentina,1930,4,2,6
Uruguay,Yugoslavia,1930,6,1,7
Argentina,United States,1930,6,1,7
Paraguay,Belgium,1930,1,0,1
United States,Paraguay,1930,3,0,3
Uruguay,Romania,1930,4,0,4
Uruguay,Peru,1930,1,0,1
Romania,Peru,1930,3,1,4
United States,Belgium,1930,3,0,3
Yugoslavia,Bolivia,1930,4,0,4
Yugoslavia,Brazil,1930,2,1,3
Argentina,Chile,1930,3,1,4
Argentina,Mexico,1930,6,3,9
Chile,France,1930,1,0,1
Chile,Mexico,1930,3,0,3
Argentina,France,1930,1,0,1
Brazil,Bolivia,1930,4,0,4
Germany,Sweden,1934,2,1,3
Italy,Czechoslovakia,1934,2,1,3
Germany,Austria,1934,3,2,5
Czechoslovakia,Germany,1934,3,1,4
Italy,Austria,1934,1,0,1
Italy,Spain,1934,1,0,1
Czechoslovakia,Switzerland,1934,3,2,5
Italy,Spain,1934,1,1,2
Italy,United States,1934,7,1,8
Germany,Belgium,1934,5,2,7
Austria,France,1934,3,2,5
Sweden,Argentina,1934,3,2,5
Czechoslovakia,Romania,1934,2,1,3
Switzerland,Netherlands,1934,3,2,5
Hungary,Egypt,1934,4,2,6
Spain,Brazil,1934,3,1,4
Austria,Hungary,1934,2,1,3
Italy,France,1938,3,1,4
Brazil,Czechoslovakia,1938,1,1,2
Brazil,Czechoslovakia,1938,2,1,3
Italy,Hungary,1938,4,2,6
Italy,Brazil,1938,2,1,3
Brazil,Sweden,1938,4,2,6
Sweden,Cuba,1938,8,0,8
Hungary,Sweden,1938,5,1,6
Hungary,Switzerland,1938,2,0,2
Switzerland,Germany,1938,4,2,6
Czechoslovakia,Netherlands,1938,3,0,3
Brazil,Poland,1938,6,5,11
Italy,Norway,1938,2,1,3
France,Belgium,1938,3,1,4
Cuba,Romania,1938,3,3,6
Hungary,Dutch East Indies,1938,6,0,6
Switzerland,Germany,1938,1,1,2
Cuba,Romania,1938,2,1,3
Sweden,Italy,1950,3,2,5
Sweden,Paraguay,1950,2,2,4
Italy,Paraguay,1950,2,0,2
Uruguay,Bolivia,1950,8,0,8
Uruguay,Spain,1950,2,2,4
Uruguay,Brazil,1950,2,1,3
Brazil,Spain,1950,6,1,7
Uruguay,Sweden,1950,3,2,5
Sweden,Spain,1950,3,1,4
Brazil,Sweden,1950,7,1,8
Chile,United States,1950,5,2,7
Spain,Chile,1950,2,0,2
United States,England,1950,1,0,1
Spain,United States,1950,3,1,4
England,Chile,1950,2,0,2
Switzerland,Mexico,1950,2,1,3
Brazil,Yugoslavia,1950,2,0,2
Yugoslavia,Mexico,1950,4,1,5
Brazil,Switzerland,1950,2,2,4
Yugoslavia,Switzerland,1950,3,0,3
Brazil,Mexico,1950,4,0,4
Spain,England,1950,1,0,1
Uruguay,England,1954,4,2,6
Italy,Belgium,1954,4,1,5
Switzerland,Italy,1954,4,1,5
Austria,Switzerland,1954,7,5,12
West Germany,Yugoslavia,1954,2,0,2
England,Belgium,1954,4,4,8
West Germany,Austria,1954,6,1,7
Hungary,Uruguay,1954,4,2,6
Austria,Uruguay,1954,3,1,4
West Germany,Hungary,1954,3,2,5
Hungary,Brazil,1954,4,2,6
Switzerland,Italy,1954,2,1,3
England,Switzerland,1954,2,0,2
Uruguay,Scotland,1954,7,0,7
Brazil,Mexico,1954,5,0,5
Yugoslavia,France,1954,1,0,1
Brazil,Yugoslavia,1954,1,1,2
West Germany,Turkey,1954,4,1,5
Hungary,South Korea,1954,9,0,9
France,Mexico,1954,3,2,5
Turkey,South Korea,1954,7,0,7
West Germany,Turkey,1954,7,2,9
Austria,Czechoslovakia,1954,5,0,5
Uruguay,Czechoslovakia,1954,2,0,2
Austria,Scotland,1954,1,0,1
Hungary,West Germany,1954,8,3,11
England,Austria,1958,2,2,4
Wales,Hungary,1958,2,1,3
Brazil,Austria,1958,3,0,3
Soviet Union,England,1958,2,2,4
Brazil,England,1958,0,0,0
Soviet Union,Austria,1958,2,0,2
Brazil,Soviet Union,1958,2,0,2
Sweden,West Germany,1958,3,1,4
Brazil,Wales,1958,1,0,1
France,Northern Ireland,1958,4,0,4
Sweden,Soviet Union,1958,2,0,2
West Germany,Yugoslavia,1958,1,0,1
Brazil,France,1958,5,2,7
Hungary,Mexico,1958,4,0,4
France,West Germany,1958,6,3,9
Soviet Union,England,1958,1,0,1
Sweden,Wales,1958,0,0,0
Brazil,Sweden,1958,5,2,7
Mexico,Wales,1958,1,1,2
Argentina,West Germany,1958,1,3,4
Northern Ireland,Czechoslovakia,1958,1,0,1
West Germany,Czechoslovakia,1958,2,2,4
Argentina,Northern Ireland,1958,3,1,4
West Germany,Northern Ireland,1958,2,2,4
Czechoslovakia,Argentina,1958,6,1,7
Northern Ireland,Czechoslovakia,1958,2,1,3
Sweden,Hungary,1958,2,1,3
Yugoslavia,Scotland,1958,1,1,2
Yugoslavia,France,1958,3,2,5
Paraguay,Scotland,1958,3,2,5
France,Scotland,1958,2,1,3
Paraguay,Yugoslavia,1958,3,3,6
Sweden,Mexico,1958,3,0,3
Hungary,Wales,1958,1,1,2
France,Paraguay,1958,7,3,10
Mexico,Czechoslovakia,1962,3,1,4
Argentina,Bulgaria,1962,1,0,1
Hungary,England,1962,2,1,3
England,Argentina,1962,3,1,4
Hungary,Bulgaria,1962,6,1,7
Hungary,Argentina,1962,0,0,0
England,Bulgaria,1962,0,0,0
Yugoslavia,West Germany,1962,1,0,1
Czechoslovakia,Hungary,1962,1,0,1
Brazil,England,1962,3,1,4
Czechoslovakia,Yugoslavia,1962,3,1,4
Brazil,Chile,1962,4,2,6
Chile,Yugoslavia,1962,1,0,1
Brazil,Spain,1962,2,1,3
Chile,Soviet Union,1962,2,1,3
Brazil,Czechoslovakia,1962,3,1,4
Spain,Mexico,1962,1,0,1
Czechoslovakia,Spain,1962,1,0,1
Brazil,Czechoslovakia,1962,0,0,0
Uruguay,Colombia,1962,2,1,3
Soviet Union,Yugoslavia,1962,2,0,2
Yugoslavia,Uruguay,1962,3,1,4
Soviet Union,Uruguay,1962,2,1,3
Yugoslavia,Colombia,1962,5,0,5
Soviet Union,Colombia,1962,4,4,8
West Germany,Italy,1962,0,0,0
Chile,Italy,1962,2,0,2
West Germany,Switzerland,1962,2,1,3
West Germany,Chile,1962,2,0,2
Italy,Switzerland,1962,3,0,3
Brazil,Mexico,1962,2,0,2
Chile,Switzerland,1962,3,1,4
Soviet Union,Chile,1966,2,1,3
Soviet Union,North Korea,1966,3,0,3
Italy,Chile,1966,2,0,2
Chile,North Korea,1966,1,1,2
Soviet Union,Italy,1966,1,0,1
North Korea,Italy,1966,1,0,1
England,Argentina,1966,1,0,1
England,West Germany,1966,4,2,6
Soviet Union,Hungary,1966,2,1,3
Portugal,North Korea,1966,5,3,8
West Germany,Soviet Union,1966,2,1,3
England,Portugal,1966,2,1,3
Portugal,Soviet Union,1966,2,1,3
Hungary,Bulgaria,1966,3,1,4
West Germany,Uruguay,1966,4,0,4
Portugal,Brazil,1966,3,1,4
Spain,Switzerland,1966,2,1,3
Hungary,Brazil,1966,3,1,4
France,Mexico,1966,1,1,2
Uruguay,France,1966,2,1,3
England,Mexico,1966,2,0,2
Mexico,Uruguay,1966,0,0,0
England,France,1966,2,0,2
West Germany,Switzerland,1966,5,0,5
England,Uruguay,1966,0,0,0
Portugal,Bulgaria,1966,3,0,3
Argentina,West Germany,1966,0,0,0
Argentina,Switzerland,1966,2,0,2
West Germany,Spain,1966,2,1,3
Brazil,Bulgaria,1966,2,0,2
Portugal,Hungary,1966,3,1,4
Argentina,Spain,1966,2,1,3
Uruguay,Sweden,1970,0,1,1
Israel,Italy,1970,0,0,0
Romania,England,1970,0,1,1
Czechoslovakia,Brazil,1970,1,4,5
Romania,Czechoslovakia,1970,2,1,3
Romania,Brazil,1970,2,3,5
Peru,Morocco,1970,3,0,3
Peru,Bulgaria,1970,3,2,5
West Germany,Morocco,1970,2,1,3
West Germany,Bulgaria,1970,5,2,7
West Germany,Peru,1970,3,1,4
Bulgaria,Morocco,1970,1,1,2
Sweden,Israel,1970,1,1,2
England,Czechoslovakia,1970,1,0,1
Uruguay,Italy,1970,0,0,0
England,Brazil,1970,0,1,1
Uruguay,Israel,1970,2,0,2
Italy,Sweden,1970,1,0,1
Mexico,Soviet Union,1970,0,0,0
Soviet Union,Uruguay,1970,0,1,1
Brazil,Peru,1970,4,2,6
West Germany,England,1970,3,2,5
Uruguay,Brazil,1970,1,3,4
Italy,West Germany,1970,4,3,7
Italy,Mexico,1970,4,1,5
Brazil,Italy,1970,4,1,5
Belgium,El Salvador,1970,3,0,3
Soviet Union,Belgium,1970,4,1,5
Mexico,El Salvador,1970,4,0,4
Mexico,Belgium,1970,1,0,1
Uruguay,West Germany,1970,0,1,1
Soviet Union,El Salvador,1970,2,0,2
Bulgaria,Netherlands,1974,1,4,5
Sweden,Uruguay,1974,3,0,3
Italy,Haiti,1974,3,1,4
Poland,Argentina,1974,3,2,5
Argentina,Haiti,1974,4,1,5
Poland,Italy,1974,2,1,3
Netherlands,Argentina,1974,4,0,4
Brazil,East Germany,1974,1,0,1
Netherlands,Sweden,1974,0,0,0
Argentina,Brazil,1974,1,2,3
Haiti,Poland,1974,0,7,7
Bulgaria,Uruguay,1974,1,1,2
Brazil,Yugoslavia,1974,0,0,0
Uruguay,Netherlands,1974,0,2,2
Zaire,Brazil,1974,0,3,3
Scotland,Yugoslavia,1974,1,1,2
Yugoslavia,Zaire,1974,9,0,9
Scotland,Brazil,1974,0,0,0
Zaire,Scotland,1974,0,2,2
East Germany,West Germany,1974,1,0,1
Australia,Chile,1974,0,0,0
Chile,East Germany,1974,1,1,2
Australia,West Germany,1974,0,3,3
East Germany,Australia,1974,2,0,2
West Germany,Chile,1974,1,0,1
East Germany,Netherlands,1974,0,2,2
Sweden,Bulgaria,1974,0,0,0
Argentina,East Germany,1974,1,1,2
Argentina,Italy,1974,1,1,2
Yugoslavia,West Germany,1974,0,2,2
Sweden,Poland,1974,0,1,1
Poland,Yugoslavia,1974,2,1,3
West Germany,Sweden,1974,4,2,6
Poland,West Germany,1974,0,1,1
Sweden,Yugoslavia,1974,2,1,3
Brazil,Poland,1974,0,1,1
Netherlands,West Germany,1974,1,2,3
Netherlands,Brazil,1974,2,0,2
Peru,Iran,1978,4,1,5
Scotland,Netherlands,1978,3,2,5
Austria,Netherlands,1978,1,5,6
Italy,West Germany,1978,0,0,0
Netherlands,West Germany,1978,2,2,4
Italy,Austria,1978,1,0,1
Italy,Netherlands,1978,1,2,3
Poland,Brazil,1978,1,3,4
Argentina,Poland,1978,2,0,2
Peru,Poland,1978,0,1,1
Argentina,Brazil,1978,0,0,0
Netherlands,Peru,1978,0,0,0
Argentina,Peru,1978,6,0,6
Argentina,Netherlands,1978,3,1,4
Brazil,Italy,1978,2,1,3
Peru,Brazil,1978,0,3,3
Scotland,Iran,1978,1,1,2
Austria,West Germany,1978,3,2,5
Peru,Scotland,1978,3,1,4
Italy,France,1978,2,1,3
Argentina,Hungary,1978,2,1,3
Italy,Hungary,1978,3,1,4
Argentina,France,1978,2,1,3
Netherlands,Iran,1978,3,0,3
France,Hungary,1978,3,1,4
West Germany,Poland,1978,0,0,0
Tunisia,Mexico,1978,3,1,4
West Germany,Mexico,1978,6,0,6
Argentina,Italy,1978,0,1,1
West Germany,Tunisia,1978,0,0,0
Brazil,Austria,1978,1,0,1
Spain,Sweden,1978,1,0,1
Brazil,Spain,1978,0,0,0
Austria,Sweden,1978,1,0,1
Poland,Tunisia,1978,1,0,1
Austria,Spain,1978,2,1,3
Brazil,Sweden,1978,1,1,2
Poland,Mexico,1978,3,1,4
Spain,Northern Ireland,1982,0,1,1
Honduras,Yugoslavia,1982,0,1,1
Honduras,Northern Ireland,1982,1,1,2
Soviet Union,Scotland,1982,2,2,4
Spain,Yugoslavia,1982,2,1,3
Scotland,New Zealand,1982,5,2,7
Brazil,Scotland,1982,4,1,5
Soviet Union,New Zealand,1982,3,0,3
Brazil,Soviet Union,1982,2,1,3
Brazil,New Zealand,1982,4,0,4
Spain,England,1982,0,0,0
Belgium,Soviet Union,1982,0,1,1
Soviet Union,Poland,1982,0,0,0
West Germany,England,1982,0,0,0
West Germany,Spain,1982,2,1,3
Italy,Argentina,1982,2,1,3
Argentina,Brazil,1982,1,3,4
Italy,Brazil,1982,3,2,5
Austria,France,1982,0,1,1
Yugoslavia,Northern Ireland,1982,0,0,0
Poland,Belgium,1982,3,0,3
Spain,Honduras,1982,1,1,2
Poland,Peru,1982,5,1,6
France,Czechoslovakia,1982,1,1,2
Italy,Poland,1982,0,0,0
Peru,Cameroon,1982,0,0,0
Italy,Peru,1982,1,1,2
Poland,Cameroon,1982,0,0,0
Italy,Cameroon,1982,1,1,2
Austria,Northern Ireland,1982,2,2,4
West Germany,Chile,1982,4,1,5
Algeria,Austria,1982,0,2,2
Algeria,Chile,1982,3,2,5
England,Kuwait,1982,1,0,1
West Germany,Austria,1982,1,0,1
Hungary,El Salvador,1982,10,1,11
Argentina,Hungary,1982,4,1,5
Belgium,El Salvador,1982,1,0,1
Belgium,Hungary,1982,1,1,2
Argentina,El Salvador,1982,2,0,2
England,France,1982,3,1,4
Czechoslovakia,Kuwait,1982,1,1,2
England,Czechoslovakia,1982,2,0,2
France,Kuwait,1982,4,1,5
Argentina,Belgium,1982,0,1,1
France,Northern Ireland,1982,4,1,5
Chile,Austria,1982,0,1,1
West Germany,Algeria,1982,1,2,3
Poland,Italy,1982,0,2,2
Italy,West Germany,1982,3,1,4
West Germany,France,1982,3,3,6
Poland,France,1982,3,2,5
Northern Ireland,Spain,1986,1,2,3
Algeria,Northern Ireland,1986,1,1,2
Spain,Brazil,1986,0,1,1
Soviet Union,Canada,1986,2,0,2
Hungary,France,1986,0,3,3
Hungary,Canada,1986,2,0,2
France,Soviet Union,1986,1,1,2
Soviet Union,Hungary,1986,6,0,6
Canada,France,1986,0,1,1
Iraq,Mexico,1986,0,1,1
Paraguay,Belgium,1986,2,2,4
Iraq,Belgium,1986,1,2,3
